,企業名,キャッチコピー,ステータス,給与
168,株式会社テックコーポレーション | ＜ 経済産業省・自治体・事業団体の補助金対象 ＞,【法人営業(自社製品の提案) 】※30～40代の中途入社多数 正社員,正社員,◆東京／月給30万円以上（試用期間は月給27万円以上） ＋ 賞与 ＋ インセンティブ給 ◆大阪、名古屋／月…
169,株式会社センス | ★未経験からでも年収1000万円超の先輩が活躍中★100％面接保証,【営業系総合職】週休3日／月末5連休などユニークな働き方も◎ 正社員,正社員,月給:24万円〜70万円＋インセンティブ＋各種手当 ※経験・スキルを考慮して決定いたします。 ※試用期間…
170,小金井不動産株式会社 | LIXIL不動産ショップNo.1！全加盟店480社中優秀成績者41名輩出,成果に繋がる理由だらけ★【売買営業(反響型)】※栃木限定募集 正社員,正社員,【月給】25万円〜35万円＋インセンティブ＋諸手当 ※平均インセンティブ額13.7万円 ※試用期間3ヶ月 上記…
171,イッセイコンサルタント株式会社 | 【 10年連続売上UP 】平均年収600～700万｜転勤なし｜定時退社可,☆未経験歓迎☆【業務管理スタッフ】内勤メイン／年休122日★ 正社員,正社員,月給25万〜60万円 【月給例】 月給25万円／入社1年（27歳） 月給35万円／経験5年（30歳） 月給50万円／…
172,クラウンコンサルティング株式会社 | ビジネスマッチングサイト『ビジェント』を運営する急成長企業！,【メディアプランナー(広告営業)】テレワーク推奨／フレックス 正社員,正社員,月給25万円以上＋賞与年2回 ※経験、能力を考慮の上、決定いたします。 ※上記には、固定残業代（月15時…
173,株式会社ジーアフター | ◆不況知らず！売上前年比130％以上、注目の企業◆残業ほぼなし,大型店オープン！完全反響【営業】未経験OK◆平均月収48.8万円 正社員,正社員,月給30万円〜(経験・年齢考慮)＋インセンティブ ※上記の月給には時間外労働の有無にかかわらず、45時…
174,居藏管工株式会社 | いぐらかんこう｜#入社祝い金支給#経験者は月収40万円が目指せる,働き方が選べる！【メンテナンス】※未経験歓迎&経験者は優遇 正社員,正社員,"（1）月給33万円以上 （2）月給29万7,000円以上 （3）月給27万5,000円以上 （4）月給29万円以上 （5）月…"
175,株式会社ドリームホーム | 京都屈指の業績・2019年度グループ売上高170億円！,完全反響対応の【不動産営業職】★ノルマ一切なし 正社員,正社員,"月給／22万5,000円以上 ※試用期間2ヵ月。(その間の給与変動なし) ※経験・年齢を考慮の上、当社規定によ…"
176,株式会社エストゥルース | 【当社の実話】土日祝休み/残業ゼロ/未経験入社でも年収1200万円,【不動産営業】＼育成枠採用／⇒チームであなたを育てます 正社員,正社員,【大卒以上】月給25万円以上＋諸手当＋インセンティブ（40万円〜100万円） 【上記以外】月給23万円以上＋…
177,株式会社ゼディアルーク | グループ会社を複数擁し、IT事業を展開する成長企業,経験を活かして、セカンドステップを見出せる【ITエンジニア】 正社員,正社員,月給18万円〜80万円 ＋ インセンティブ（プロジェクト単位での業績に応じる） ※あなたの経験・年齢を考…
178,株式会社エコ・エー | 【環境職人】★寮完備（月3万円）★残業月10ｈ・直行直帰OK,【施工スタッフ】★未経験歓迎★月30万円スタート可★若手活躍中 正社員,正社員,日給1万3000円〜1万7000円 【収入例】月収29万9000円（未経験１ヶ月目） 未経験でも日給1万3000円×23日…
179,株式会社リンクスタッフグループ | ◆未経験スタートでも月給25万円以上を保証！◆早期昇格も,"""本気""で転職を考えるなら、成果に見合った待遇を【人材系営業】 正社員",正社員,■月給25万円〜40万円 + インセンティブ ＋ 賞与年2回 ※スキル・経験を考慮して決定いたします ※試用期…
180,大和総合住設株式会社 | ★賞与年4回支給★平均年齢27歳！女性社員も活躍しています！,＼沖縄勤務／完全週休2日制&朝はゆっくり13時出社♪【提案営業】 正社員,正社員,月給23万円 〜 40万円 ＋ インセンティブ ★未経験入社で、 　月収47万円を稼いでいる社員もいます！ …
181,日本セキュリティ株式会社 | 早期キャリアアップ可能！★お客様は安定の警備業界,人と企業をつなぐ【提案営業】★年休120日以上★長期連休も可 正社員,正社員,■月給25万円〜40万円 + インセンティブ ＋ 賞与年2回 ※スキル・経験を考慮して決定いたします ※試用期…
182,クレストジャパン株式会社 | ★経験者採用★年収1000万以上目指す人、必見の求人です！,"""稼ぎたい""その想いに高歩合率で応えます【不動産仲介・仕入れ】 正社員",正社員,月給25万円〜30万円＋仲介手数料20％の高率歩合 ※試用期間3ヶ月あり（期間中の待遇に変更ナシ） ＜歩合…
183,株式会社ビルドイット | 設計からの請負い案件100％で高収入可 ★残業全社月平均10h以下,★前給保証★前職年収2割増しを保証【ITエンジニア】年休128日 正社員,正社員,月給30万円〜50万円 ＋ 賞与年2回 ＼前職給与の120％をお約束します！／ ★経験やスキルに応じて、50万円…
184,木下工業株式会社 | 名古屋エリアの公共事業のみ！／資格取得もサポートします！,【作業スタッフ】★月収25万円～40万円が可能★未経験歓迎 正社員,正社員,日給1万2500円〜2万円 ※月収25万円〜40万円が可能 ※経験・年齢を考慮の上、当社規定により優遇します …
185,アートバンライン株式会社 | 大手企業と多数取引で業績好調★月8～9日休み★土日休みも可,【中型(4t)トラックドライバー】面接1回★転勤なし！安定性◎ 正社員,正社員,月給15万7600円以上＋割増賃金＋残業手当+諸手当 ≪平均月収/42万円≫ ★月収例の内訳 基本給+残業代/割…
186,アートバンライン株式会社 | 大手企業と多数取引で業績好調★売上295億円を誇る安定企業,【大型(10t)ドライバー】★面接1回★無理のない配車調整で負担少 正社員,正社員,月給15万7600円以上＋割増賃金+残業手当＋諸手当 《月収例46万円》 ★月収例の内訳 基本給+残業代/割増賃…
187,アートバンライン株式会社 | 大手企業と多数取引で業績好調★月8～9日休み土日休みも可,【小型(2t)トラックドライバー】★面接1回★高定着率★[未]歓迎 正社員,正社員,月給15万7600円以上＋割増賃金＋残業手当+諸手当 《月収例37万円(入社2年目／残業20hの場合)》 ★月収例…
188,さか電工株式会社 | ★配偶者のバースデー休暇など、社員の家族も大切にする会社★,【電気工事】★月給40万円も目指せる ★経験者は前職給与を保証 正社員,正社員,"経験者…月給30万円〜（前職給与保証） 未経験…月給22万5,000円〜41万円 ※年齢、経験、能力を考慮の上…"
189,株式会社ミックウェア | ★ホンダやトヨタのパートナーとして最先端技術を駆使！,働き方が選べる【ITエンジニア】大量採用!中途入社が多数活躍中! 正社員,正社員,マネーワーク職／実力に応じた収入が可能！ 月給27万円〜47万円+賞与年4回 ※固定残業代月42時間相当（6…
190,有限会社エフォール | ≪全員面接＊働き方選べます≫初期費用0円★年齢不問,『配った荷物＝あなたの給料』【軽車両ドライバー】AT限定免許OK 業務委託,業務委託,完全出来高制 ※1件あたり150円〜180円 〓〓＜月収70万円近くも可能！＞〓〓 ※荷物単価180円の場合（…
191,株式会社昇建 | #大阪府緊急雇用対策に賛同#大阪本社#転勤なし,条件に合う方とは積極的に面接します【施工管理アシスタント】 正社員,正社員,■（１）月給25万〜40万円+諸手当＋賞与年2回 ■（２）月給30万〜50万円+諸手当＋賞与年2回 ※（１）管…
192,Rセキュリティ株式会社 | 20年連続増収増益◆2020年2~5月は売上前年比125％◆完全週休二日,"""水""というライフラインを支える【水道技師】★平均月収45万円超 正社員",正社員,月給25万円以上＋インセンティブ(歩合)＋シフト手当＋営業手当 ★年収1000万円可能 ★平均月収45万9809円…
193,メットライフ生命保険株式会社 | 【大阪府緊急雇用対策に賛同】◆賞与年4回／完全週休2日制(土日),未経験歓迎！【コンサルティング営業】環境&収入ともに抜群◎ 正社員,正社員,【初任給月給】25万円または30万円 ※初期補給の金額は前年度年収により決定。 個人成績に応じて3ヶ月ご…
194,コムズ株式会社 | 未経験でも月給25万円スタート★土日祝休/年休120日以上★,【広告運用サポート】経験者優遇★成長×高収入を叶える会社★ 正社員,正社員,★月給25万円〜45万円＋インセンティブ+各種手当 ※経験や能力に応じて決定いたします。 ※試用期間あり…
195,株式会社ゲッコー | 直行直帰可能！転勤ナシで地元で働ける＊業界経験者歓迎,20代の平均月収＝約43万円★実働6h＆残業ナシ【技術系総合職】 正社員,正社員,月給28万〜54万円 +各種手当 ※スキルや能力、希望などを考慮して、給与額を決定します。 ※試用期間1…
196,株式会社フィード | アパレルや美容業界、飲食店など異業種からの転職成功者多数！,【ライフプランアドバイザー】平均年齢24歳！マンション社宅付！ 正社員,正社員,"月給25万円以上＋高額インセンティブ＋諸手当＋賞与 ※営業手当として40時間（55,000円）分の残業代を含…"
197,株式会社つばさメディカルグループ | ■札幌でトップクラスの実績 ■社会貢献性の高い事業で急成長中,高齢者と介護施設のミスマッチをなくす！【コーディネート営業】 正社員,正社員,営業経験者：月給25万円以上 未経験者：月給23万円以上 ※別途インセンティブの支給があります。 ※経験…
198,株式会社ケニーモバイル | ★関内・横須賀で地域密着★正社員デビュー歓迎★充実の研修あり,未経験OK！【受付・販売スタッフ】★年間休日120日 ★面接1回 正社員,正社員,月給22〜39万円＋役職手当＋交通費支給 ※一律手当含む。 ※経験・能力を考慮の上、加給・優遇します。 …
199,株式会社ひまわりほーむ | ＼CMでお馴染み／　残業月平均15時間&手当など福利厚生も充実◎,【総合職（経理・営業）】★仕事とプライベートを両立できる！ 正社員,正社員,■月給／16万円〜27万円+諸手当＋インセンティブ ※試用期間(最長3ヶ月)も待遇は変わりません ♪利益は…
200,株式会社ファースト | 【不況知らずのカスタムカー専門店】＊平均年収600万円以上！,＊未経験大歓迎！残業ほぼなし・転勤なし【カーアドバイザー】 正社員,正社員,月給25万円〜＋インセンティブ(販売台数UP→金額もUP) 【平均年収600万円以上】 ＜月収例＞ 入社1ヶ月……
201,株式会社京進 | 東証二部上場,【学習塾経営】転職して社員に？いや、次のキャリアは独立だ！ FCオーナー,FCオーナー,【年間モデル収益】 年間平均生徒数が60名の場合 ◎年間売上／2733万円 ・授業料、入学料　他 ◎年間諸費…
202,株式会社CREAX | 「買取専門店 kaitori-off」設立から6期連続増収中の成長企業！,【査定スタッフ/バイヤー】未経験から1年目で30万円以上も可能 正社員,正社員,◇月給：24万円〜50万円 ＋各種手当+インセンティブ ※月給は最低保証給です。各種手当が支給されます。…
203,第一土地建物株式会社 | 【コロナ禍でも売上高UPの成長企業】★未経験人材を積極採用中★,【営業】★ノルマなし★異業種からのジョブチェンジ大歓迎！ 正社員,正社員,月給25万円以上＋インセンティブ ※あなたの経験やスキルを考慮し優遇いたします！ ※上記には、固定残業…
204,アイアール株式会社 | #選べる勤務地&休日等#土日祝休み#育児休暇取得多数#WEB面接可能,コロナ禍でも業績好調!年収120万UPも可【施工管理アシスタント】 正社員,正社員,月給28万円〜80万円+諸手当+賞与年2回 ★前職年収+120万円UPも可能！ 　経験によっては初任給月給80万円…
205,株式会社CRUD nop | ECサイト/動画配信/ゲーム等のWebシステムを手掛ける成長企業,"次は""したいこと""重視でいこう【ITエンジニア】★前給保障！ 正社員",正社員,月給25万円〜＋賞与年2回 ※経験・スキル・年齢を考慮の上、決定します。 ※上記金額には固定残業代20時…
206,株式会社スタッフファースト | <東証一部上場企業(DmMiX社)のグループ企業>★前年比250％の成長,【人材コーディネーター】★未経験者歓迎★フレックスタイムOK 正社員,正社員,＜新宿勤務＞ ■月給22万円〜（一律手当含む）＋インセンティブ＋賞与 ※試用期間2ヵ月あり（期間中も待…
207,佐藤建業株式会社 | 今年で創立61周年！杉並区・都内の地域に密着した工事事業を展開,【施工管理】官公庁・自治体からの依頼多数◎安定環境で成長！ 正社員,正社員,"【未経験】月給28万円〜35万円 上記には固定残業代（70,000円〜87,500円/45時間分）を含む。 超過分別途…"
208,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,100％反響型の【戸建住宅のアドバイザー】★女性も活躍中♪ 正社員,正社員,【月給】20万円〜30万円 ※当初6ヵ月間は契約社員(給与は同額)その後、正社員として雇用 【入社時月収例…
209,株式会社novis | 【 高収入も目指せる転職先 】年休123日／賞与年2回＋決算賞与,若手育成採用！省エネ商材の専門商社【提案営業】◎土日祝休み！ 正社員,正社員,月給23万円以上＋賞与年2回＋決算賞与 ※上記は最低保証金額です ※経験・能力を考慮の上、決定いたしま…
210,洋伸建設株式会社 | 五洋建設グループ◎施工管理技士2級⇒1級へキャリアUPも叶います,【土木施工管理】◎完全週休2日(土日祝)／年休120日以上 正社員,正社員,◆月給：23万円〜50万円＋諸手当（残業手当・通勤手当・家族手当など） ※経験・年齢・能力を考慮の上、…
211,日本ビズアップ株式会社 | クラウド会計システムで企業経営をサポート/完全週休2日(土日),自社サービスの【営業】月給35万円～＋高額インセンティブ 正社員,正社員,月給35万円〜60万円＋毎月インセンティブ ※経験や能力、前職給与を最大限考慮の上、当社規定により決定…
212,株式会社九州エネコ | 年休120日以上/完休2日制/転勤なし/社員寮あり/平均月収70万円,"『年収1,000万円』は通過点。【エコプランナー】※学歴一切不問 正社員",正社員,"月給27万円+歩合給(1件あたり7〜10万円) 【月収例(前月給料)】 27歳/810,000円（入社3ヶ月） 26歳/530,00…"
213,福岡小松フォークリフト株式会社 | 【創業51年／東証一部上場の西日本鉄道株式会社のグループ会社】,西鉄グループで活躍！物流現場を支える【営業】※土日祝休み 正社員,正社員,月給21万円〜＋インセンティブ+賞与年2回 ※経験・能力・年齢を考慮の上、当社規定により決定いたします…
214,丸伊運輸株式会社 | 杉戸営業所 -老舗企業-資格支援制度・賞与など多数待遇あり◎,【ルート配送】転勤なし◎未経験でも月給28万円スタート★ 正社員,正社員,"月給286,000〜350,000円＋交通費一部支給（規定あり） □残業代別途支給 □休日出勤手当あり □賞与あり…"
215,株式会社ピーアール・デイリー | 仙台営業所 創立59年の安心！実績トップクラスの求人広告代理店,出社・ノルマ無し！ やった分だけ稼げる！【求人広告営業】 業務委託,業務委託,完全歩合制 ※販売する商材により異なりますが、高率マージンによる完全出来高制です。 ☆月収例 （売…
216,有限会社ライラクス | <2019⇒2020年の間で売上480％UP>WEBデザインチームの新規募集,ホビーメーカーの【商品デザイン/WEBデザイナー】完全週休2日制 正社員,正社員,◆月給28万円〜32万円 + 諸手当 ※経験・年齢を考慮の上、当社規定により優遇いたします ※試用期間3ヶ月…
217,株式会社アップタウン | ★30年の歴史 ★転勤なし ★収入UPも可能 ★1から学べる職場,完全反響型の【不動産営業】■飛び込み・テレアポなし！ 正社員,正社員,◆月給27万円以上＋歩合 ※研修3ヵ月有／月給25万円〜 ★経験・年齢を熟慮して決定 ★入社後は本人の希…
218,HULK建設株式会社 | あなたの成果をしっかり評価！業界高水準の給与をご用意します。,経験者たちが太鼓判を押す、働きがいと好待遇。【土木施工管理】 正社員,正社員,月給35万500円〜70万円＋毎月臨時ボーナス（20万円〜40万円頑張り次第で支給） ◆年収例 1級土木施工管…
219,株式会社アサックス | 【東証一部上場】★残業少★土日祝休み★20代で年収700万円も可,あなたが中小企業の救世主に！【提案営業】★未経験歓迎 正社員,正社員,"月給：26万円以上＋賞与年2回＋通勤手当・住宅手当50,000円 ※あなたの経験やスキルを最大限考慮いたし…"
220,キュープラス株式会社 | 残業ほぼなし・定時退社可/完全週休二日制/高い昇給率で収入UP可,月給34万円～！運用保守が中心の【エンジニア】★フルリモート可 正社員,正社員,【月給】34万円〜60万円 ※前職での給与を最大限考慮して決定いたします。 「前職と比較して、年収が下が…
221,株式会社Pledge Clover | #平均月収35万円#平均26歳#前年比300％UP#UIターンOK#名古屋限定,名古屋でReスタート!【営業(企画/Webマーケティング)】転勤なし 正社員,正社員,月給23〜35万円＋インセンティブ ※経験・能力を考慮し、最大で月給50万円も可能! ※試用期間3カ月。期間…
222,光和電設株式会社 | 100%直請け★アパホテルやドン・キホーテ、コメリなどの実績多数,"技術よりも""温かい心""を持った方を採用します！【 電気工事士 】 正社員",正社員,月給27万円以上 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、…
223,株式会社ピーアール・デイリー | 創立59年の安心！媒体掲載実績トップクラスの求人広告代理店,出社無し！ノルマ無し！ やった分だけ稼げる！【求人広告営業】 業務委託,業務委託,完全歩合制 ※販売する商材により異なりますが、高率マージンによる完全出来高制です。 ☆月収例 （売…
224,株式会社ブッシュクロフィード | 年間休日125日◆土日祝休◆経験者優遇◆大きな裁量も魅力,【賃貸管理】未経験から不動産のプロへ／完休2日／土日祝休 正社員,正社員,月給20万円〜賞与+諸手当 ※試用期間3か月（期間中の待遇の差異はございません） ※給与は経験やスキル・…
225,有限会社アイユーホーム | 設立以来、決算賞与支給中！残業月20時間程度！,【賃貸カウンター業務】★完全週休2日制　★高い有給取得率◎ 正社員,正社員,月給／21万2500円〜 (固定残業代20h/2万7500円＋一律営業手当2万円＋一律通信費5000円分含) ※上記はあ…
226,ＬＵＣＩＯＮ＆Ｃｏｍｐａｎｙ株式会社 | 国の進めるエネルギー事業に貢献/残業少なめ/月収150万円も可能,★月給35万円以上＆年間休日120日★【提案営業】未経験歓迎！ 正社員,正社員,◆月給35万円〜 + インセンティブ + 役職手当等 ※経験・年齢を考慮の上、 　当社規定により優遇いたし…
227,株式会社アドヴァンス | 【 2021年6月26日(土) マイナビ転職フェア熊本に出展します 】,★未経験OK 【ペインター】賞与年2回 ＋ 期末手当 ／ 退職金あり 正社員,正社員,"月給182,700円〜 ＋ 諸手当 ★ 残業手当は100％支給 ★ ≪ モデル例 ≫ ・月収30万円／ペインター／入社…"
228,株式会社ヨドバシカメラ | 業界異例の正社員比率96.4% ★福利厚生も大手ならでは！,ヨドバシを縁の下で支える【物流総合職】★第二新卒・未経験歓迎 正社員,正社員,月給20万5000円以上＋職務手当＋超過勤務手当 ＜月収モデル＞ 大学院大学卒（月給20万5000円+諸手当／20…
229,株式会社CREA HOME | 設立より3期連続で増収増益｜ゆくゆくは年収600万円以上も可能,デザイン性の高いリノベーションを行う【プランナー】※未経験OK 正社員,正社員,"■月給25万円〜66万4,000円 ※経験、年齢、能力を考慮の上決定します ※上記月給には固定残業代45時間分…"
230,東京経済株式会社 | 経験は不問。研修でじっくり基礎から学べる,情報力で経営者を支える【調査営業職】 正社員,正社員,月給24万円〜 + インセンティブ + 諸手当 ★待遇条件の詳細については、面接でご相談ください！ ※上記…
231,株式会社メイズ | ☆年休120日以上☆完全週休2日制☆1週間以上の長期休暇×年2回,★未経験OK！【営業総合職（法人営業／メンテナンス営業）】 正社員,正社員,月給20万円〜＋インセンティブ＋各種手当＋賞与年2回＋業績賞与1回 ※経験・能力を考慮の上、当社規定に…
232,株式会社ナチュレカード | 〈 建物検査事業 〉◎未経験歓迎 ◎男女・年齢・ブランク不問,時代に合った働き方を★【建物検査員】副業やWワークとしてもOK! 業務委託,業務委託,完全出来高制（検査種別による） 報酬：2700円〜10700円／1件 ＜月収例＞ 月収50万円／検査数90件、日数…
233,Garrett Japan合同会社 | 【大人気ポップコーンのお店】★有給消化100％★正社員登用あり,【店長候補】★完全週休2日制★年間休日123日★基本残業なし 契約社員,契約社員,【月給23万円〜35万円】＋残業代別途支給＋インセンティブ＋各種手当 ★前職給与・経験・スキルを最大限…
234,株式会社総合資格 | ◆業界トップクラスの実績／平均年収825万円／年間休日112日以上,賞与平均5.34ヶ月【提案営業】★群馬/新潟/長野エリア積極採用中 正社員,正社員,"【月給】30万円〜35万5,300円 + 業績給 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※上記に…"
235,クリーンデバイス・テクノロジー株式会社,カーエアコンクリーニング「空気の洗車屋さん」【FCオーナー】 FCオーナー,FCオーナー,完全出来高制 1台約1〜2時間で2万1000円の利益が得られるビジネスです サービス販売価格：1台平均3万50…
236,株式会社HI-LINE | 【条件に合う方全員面接】家族手当充実！賞与昨年度実績3ヶ月分,配送業務未経験でも全然OK！【ルート配送 2t】※AT限定免許でOK 正社員,正社員,【チルド横浜緑センター／米飯横浜共配センター】 日勤／月給28万円〜 夜勤／月給31万円〜 【名古屋・一…
237,株式会社日栄テック | 残業は月平均20時間以内でリフレッシュ休暇(5連休)も取得可能！,【施工管理スタッフ】※未経験でも月給27万円以上でスタート！ 正社員,正社員,【未経験者】 月給27万円〜＋賞与(会社業績連動)＋諸手当 【経験者】 月給37万円〜＋賞与(会社業績連動)…
238,株式会社ブッシュクロフィード | 経験豊富なあなたを”部長補佐”としてお迎えします★,【経理総務】経験者歓迎／月給45万円～も可／年休125日／土日休 正社員,正社員,月給45万円〜＋諸手当 ※試用期間3か月（期間中の待遇の差異はございません） ※給与は経験やスキル・前…
239,エントロス株式会社 | ★頑張りは給与でしっかり還元★【大阪府緊急雇用対策に賛同】,【空間のコーディネート】有名展示イベントのディスプレイを担当 正社員,正社員,月給20万円〜24万円＋諸手当 ★頑張りに応じてしっかり昇給！ 【モデル年収例】 年収500万円／25歳・経…
240,株式会社京進 | 東証二部上場,"【学習塾教室長】独立を目指し、教室長として""経営""を学べる！ 契約社員",契約社員,月給20万円以上 ※経験や能力を考慮の上、決定します。 ・・・独立後・・・ 【年間モデル収益】 年間…
241,株式会社前平電機 | 年収700万円の実績あり／賞与年間3回支給実績あり（前年度）,【電気工事スタッフ】※完全週休2日も選択OK／未経験歓迎 正社員,正社員,"経験者…月給30万6,000円〜41万3,000円（実務経験5年程度の方） 未経験…月給20万6,000円以上 ▼完全週…"
242,株式会社マリオットバケーションクラブインターナショナル | ＜タイムシェアのリーディングカンパニー＞正社員登用の実績あり,世界中の高級リゾートを提供する【営業職】＊100％反響＊完休2日 契約社員,契約社員,月給20万円以上 + コミッション(上限設定なし） ※経験・年齢を考慮の上、当社規定により優遇します。 ※…
243,株式会社UPSTART | 設立3年で5名から120名に！営業アウトソーシング急成長企業！,【営業】平均年齢25歳☆未経験歓迎！無料の寮完備！月給30万円～ 正社員,正社員,月給30万円 ※固定残業代（2万7000円／11.5時間分）含む。 　超過分は別途支給。 ※固定残業代は残業がな…
244,株式会社LTCパートナーズ | 事業部長候補／年間休日125日以上／残業ほぼなし／学歴不問,【賃貸管理】経験者優遇★月給30万円～＋賞与★完全週休2日制 正社員,正社員,★月給30万円〜＋賞与＋各種手当 ※経験・年齢・能力などを考慮して、給与額を決定します。 ※試用期間3…
245,株式会社ワンダー | 約20兆円のマーケットで高い成約率 ！※大阪緊急雇用対策に賛同,【反響営業】残業＆ノルマなしの環境でも”高収入”が実現！ 正社員,正社員,月給22万円〜60万円 ＋ インセンティブ + 諸手当 【週休2日制：月給25万円〜】 【完全週休2日制：月給22…
246,フジミハウジング株式会社 | TV番組などメディア出演多数！★連休取得OK/退職金制度有,売買・仲介の【不動産営業】高待遇★年収1000万円以上も可能 正社員,正社員,月給30万円〜50万円＋インセンティブ（歩合率20％）＋売上達成報奨金（年1回） ※固定残業代（7万239円…
247,株式会社マイホーム | 「センチュリー２１」でお馴染み！ 収入もスキルアップも充実！,【提案営業】◎未経験歓迎 ◎完全反響営業 ★インセンティブ充実 正社員,正社員,"月給30万円 + 各種手当 ＋ 歩合給 ※上記金額は、【30時間分】の固定残業代【45,000円】が含まれます。超…"
248,株式会社マリオットバケーションクラブインターナショナル,【事務オペレーションスタッフ】★旅行好き歓迎♪ 契約社員,契約社員,月給25万以上＋インセンティブ ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月あ…
249,株式会社松陰会舘 | ＊20～30代が活躍中＊年休124日＊残業月平均10時間＊月給27万～,＼新事業の立ち上げメンバー／【営業】★ノルマなし★安定性抜群 正社員,正社員,月給27万〜40万円 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3ヶ月（待遇に変更はありま…
250,リアルティ株式会社 | ★毎月インセン&賞与年2回★20代で営業所長の実績あり,【不動産営業】スピード出世&収入UPできる働き方☆未経験歓迎 正社員,正社員,月給 25万円〜50万円 ＋（毎月インセンティブ）＋（賞与年2回） ※上記は最低保証額となります。 これま…
251,株式会社窪治組 | ほぼ残業なし★社員寮完備★週休2日★実働7.5時間★各種手当充実,未経験歓迎！【土木作業員(現場監督候補)】★面接保証(面接1回) 正社員,正社員,■月給22万円〜28万円 ※お持ちのスキル・経験など最大限考慮して決定します。 ※試用期間1ヵ月あり（待…
